# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
1.2720000,-39.8923000,-43.3496000,0.7646730,0.0009574,0.0046752,0.0117361,0.5265520,0.9272360,1.6560400,0.0005458,-0.0010152,-0.7646730
1.2810000,-39.8923000,-43.3496000,0.7647850,0.0010038,0.0042081,0.0127188,0.1063680,0.1675960,1.7804200,0.0005427,-0.0010484,-0.7647850
1.2930000,-39.8923000,-43.3496000,0.7649040,-0.0037730,0.0006807,0.0110742,-0.9492970,0.1153130,0.9277970,0.0005581,-0.0010655,-0.7649040
1.3020000,-39.8923000,-43.3496000,0.7649630,-0.0029397,-0.0003929,0.0057055,-1.2780300,-0.7949380,0.0058298,0.0005626,-0.0010782,-0.7649630
1.3110000,-39.8923000,-43.3495000,0.7650330,0.0022665,0.0022720,0.0122906,1.6330800,0.9067310,1.7326300,0.0005590,-0.0010894,-0.7650330
1.3230000,-39.8923000,-43.3495000,0.7650900,0.0009588,0.0010375,-0.0001319,-0.5045210,-1.0372600,-0.1300170,0.0005343,-0.0011212,-0.7650900
1.3320000,-39.8923000,-43.3495000,0.7650470,0.0016520,0.0015992,-0.0001176,0.7241800,0.7843390,2.8490700,0.0005281,-0.0011257,-0.7650470
1.3410000,-39.8923000,-43.3495000,0.7650760,-0.0007216,-0.0011365,0.0015208,-0.6488860,-0.6958080,-1.3078300,0.0005867,-0.0010914,-0.7650760
1.3530000,-39.8923000,-43.3495000,0.7651610,-0.0015303,-0.0020561,0.0080045,-0.5420990,-0.6014750,2.1027600,0.0006005,-0.0010788,-0.7651610
1.3620000,-39.8923000,-43.3495000,0.7652440,0.0033204,0.0005563,0.0070412,1.5877900,0.9992920,-0.6595370,0.0005924,-0.0010723,-0.7652440
1.3710000,-39.8923000,-43.3495000,0.7652560,0.0009052,-0.0010110,0.0028566,-0.3393790,0.2306950,0.0938231,0.0005794,-0.0010589,-0.7652560
1.3830000,-39.8923000,-43.3495000,0.7654310,0.0028205,0.0006627,0.0156871,0.6420110,0.3336100,-0.3018330,0.0005581,-0.0010566,-0.7654310
1.3920000,-39.8922000,-43.3495000,0.7654500,0.0000063,0.0003542,-0.0049641,-0.1124320,0.0350593,-2.9696000,0.0005435,-0.0010647,-0.7654500
1.4010000,-39.8923000,-43.3495000,0.7654050,-0.0022708,-0.0017321,-0.0028817,-0.6426280,0.0554268,1.3877300,0.0005551,-0.0010579,-0.7654050
1.4130000,-39.8922000,-43.3495000,0.7654370,0.0024821,0.0000031,-0.0035062,0.6225530,0.7490600,-1.8371400,0.0005343,-0.0010500,-0.7654370
1.4220000,-39.8922000,-43.3496000,0.7654530,0.0013333,-0.0027936,0.0026666,0.1866760,-0.5053960,1.0196400,0.0005241,-0.0010312,-0.7654530
1.4310000,-39.8922000,-43.3496000,0.7655320,0.0027758,-0.0033761,0.0101294,0.2842780,-0.1047320,-0.6089000,0.0004997,-0.0010082,-0.7655320
1.4430000,-39.8922000,-43.3496000,0.7655250,-0.0017100,-0.0042306,-0.0047227,-0.7119260,-0.1104770,-0.8506140,0.0004921,-0.0009618,-0.7655250
1.4520000,-39.8922000,-43.3496000,0.7654930,-0.0031164,0.0025571,0.0090982,-1.1672400,2.0841900,4.3485100,0.0005041,-0.0009467,-0.7654930
1.4610000,-39.8922000,-43.3496000,0.7656990,0.0019031,-0.0011947,0.0243561,-0.0377513,-0.3714720,0.0094837,0.0004989,-0.0009495,-0.7656990
1.4730000,-39.8922000,-43.3496000,0.7658800,0.0029258,0.0017271,0.0094133,0.6767470,0.8371750,-0.1028980,0.0004743,-0.0009511,-0.7658800
1.4820000,-39.8922000,-43.3497000,0.7659280,0.0023328,-0.0000021,0.0025613,1.4499400,1.1456900,0.1693450,0.0004697,-0.0009393,-0.7659280
1.4910000,-39.8922000,-43.3497000,0.7660190,0.0001081,0.0004129,0.0122361,-0.0214415,0.2101620,0.5885530,0.0004754,-0.0009379,-0.7660190
1.5030000,-39.8922000,-43.3497000,0.7661590,-0.0009126,-0.0000067,0.0082176,-0.5446340,0.2648960,-1.9648100,0.0004807,-0.0009310,-0.7661590
1.5120000,-39.8922000,-43.3497000,0.7661830,0.0004995,-0.0000708,0.0076226,0.5875660,0.4573410,1.4219200,0.0004813,-0.0009287,-0.7661830
1.5210000,-39.8922000,-43.3497000,0.7662840,0.0011947,-0.0000040,0.0108396,1.0454200,0.2708810,-0.4945840,0.0004894,-0.0009225,-0.7662840
1.5330000,-39.8922000,-43.3497000,0.7663450,-0.0008611,-0.0005192,0.0060393,0.1842650,0.8438750,0.9602990,0.0005001,-0.0009140,-0.7663450
1.5420000,-39.8922000,-43.3497000,0.7664300,-0.0043094,-0.0019683,0.0053041,-1.4217600,-0.9002260,-2.7936600,0.0005207,-0.0009046,-0.7664300
